id,date,region,country,category,product,salesperson,quantity,unit_price,discount,total
295,2025-04-07,Asia,Japan,Office Supplies,Stapler,Marie Dubois,,11.62,0.25,
296,2024-09-25,South America,Brazil,Office Supplies,Stapler,Carlos García,,11.84,,
297,2024-06-08,Europe,Hungary,,Extended Warranty,Szabó Éva,3,73.81,0.05,210.36
298,2025-02-25,Europe,Poland,Electronics,Headphones,Szabó Éva,2,98.16,0.10,176.68
299,2024-07-26,Asia,South Korea,Electronics,Keyboard,Hans Müller,2,63.27,0.20,101.23
300,2024-12-14,Europe,,,,Szabó Éva,4,274.27,0.10,987.36
301,2024-09-06,,Singapore,,Shipping,Kovács Anna,11,16.06,0.00,176.64
302,2025-09-22,Europe,France,Electronics,Laptop,Emily Johnson,3,1035.12,0.20,2484.28
303,2024-09-21,South America,Argentina,Electronics,Monitor,John Smith,3,350.63,0.30,736.32
304,2025-05-28,North America,Mexico,Office Supplies,Printer Paper,,10,8.46,0.15,71.88
305,2024-07-20,North America,United States,Furniture,,Emily Johnson,2,166.13,0.15,282.42
306,2024-07-25,Europe,Germany,Electronics,Laptop,Yuki Tanaka,11,1132.48,0.05,11834.37
307,2024-11-15,,Singapore,Office Supplies,Pens,Nagy Péter,4,4.01,0.25,12.03
308,2024-11-18,Europe,Germany,Software,IDE License,Priya Sharma,18,220.40,0.10,3570.53
309,2024-11-10,,Singapore,Furniture,Office Chair,Szabó Éva,17,228.04,,3876.69
310,2024-06-11,,Iceland,Electronics,Monitor,Szabó Éva,1,397.77,0.00,397.77
311,2024-12-31,Oceania,New Zealand,Office Supplies,,Emily Johnson,12,143.82,,1725.85
312,2025-08-11,Africa,South Africa,Office Supplies,Stapler,Hans Müller,19,10.40,0.05,187.69
313,2024-01-22,Africa,South Africa,Furniture,Office Chair,,1,248.80,0.25,186.60
314,2024-06-07,Oceania,Australia,Furniture,,Kovács Anna,2,159.39,0.00,318.77
315,2024-12-05,,Iceland,Office Supplies,Pens,Emily Johnson,4,3.76,0.25,11.28
316,2024-07-11,Oceania,New Zealand,Electronics,Monitor,Yuki Tanaka,7,395.98,0.00,2771.86
317,2024-05-26,Africa,Egypt,Software,IDE License,Hans Müller,1,176.82,0.00,176.82
318,2025-02-14,Europe,Poland,Furniture,Bookshelf,Szabó Éva,20,205.26,0.15,3489.50
319,2025-01-10,Asia,South Korea,Furniture,Desk Lamp,John Smith,18,48.79,0.20,702.62
320,2025-04-27,Europe,Poland,Electronics,Laptop,Marie Dubois,2,1055.55,0.30,1477.77
321,2024-12-20,South America,Brazil,Furniture,Desk Lamp,Emily Johnson,15,49.76,0.05,709.02
322,2025-10-22,Africa,South Africa,Office Supplies,Binder,John Smith,,5.84,0.20,
323,2025-06-20,Oceania,New Zealand,Furniture,Desk Lamp,Marie Dubois,18,46.00,0.15,703.86
324,2024-07-22,Europe,,,,John Smith,9,486.59,0.00,4379.32
325,2024-02-12,Europe,Germany,Furniture,Desk,Marie Dubois,1,378.39,0.05,359.47
326,2025-01-21,Oceania,New Zealand,Software,IDE License,Yuki Tanaka,18,170.90,,3076.27
327,2024-12-03,Europe,Poland,Electronics,Monitor,Marie Dubois,4,376.62,0.05,1431.14
328,2024-04-12,Europe,Germany,Office Supplies,Printer Paper,Marie Dubois,17,8.53,0.10,130.57
329,2025-02-26,Oceania,New Zealand,,Gift Card,Carlos García,19,85.27,0.00,1620.08
330,2024-09-09,Asia,South Korea,Electronics,Laptop,,3,1126.65,0.05,3210.94
331,2025-06-28,Africa,South Africa,Furniture,Bookshelf,Priya Sharma,9,,0.00,
332,2025-08-30,North America,Canada,Software,Office Suite,Marie Dubois,14,152.19,0.30,1491.50
333,2025-09-07,Africa,Egypt,Office Supplies,Printer Paper,Marie Dubois,12,7.35,0.15,74.92
334,2025-11-17,Europe,,,,Marie Dubois,12,373.64,0.15,3811.14
335,2025-01-30,South America,Argentina,,Shipping,Yuki Tanaka,20,12.77,0.30,178.71
336,2025-01-06,South America,Brazil,,Gift Card,Nagy Péter,2,101.41,0.00,202.81
337,2025-05-30,Asia,India,Software,Antivirus,Hans Müller,18,53.25,0.25,718.83
338,2024-06-22,South America,Argentina,Office Supplies,Binder,Hans Müller,1,5.87,0.30,4.11
339,2024-08-22,Europe,Poland,Office Supplies,Binder,John Smith,11,6.56,0.15,61.34
340,2025-10-09,Oceania,Australia,Office Supplies,Stapler,Emily Johnson,5,11.46,0.25,42.99
341,2025-03-19,,Singapore,Electronics,Monitor,Yuki Tanaka,2,314.80,0.10,566.65
342,2024-07-31,Oceania,Australia,Office Supplies,Pens,Yuki Tanaka,4,4.28,0.25,12.85
343,2025-11-11,Europe,Poland,,Extended Warranty,Hans Müller,11,,0.05,
344,2025-01-08,South America,Brazil,Electronics,Laptop,Priya Sharma,3,1021.71,0.25,2298.85
345,2025-05-17,Oceania,Australia,Electronics,Mouse,Hans Müller,1,23.35,0.25,17.51
346,2024-10-13,Asia,India,Furniture,Desk,Yuki Tanaka,15,402.93,,6043.94
347,2025-06-10,Africa,South Africa,Software,Office Suite,Emily Johnson,8,129.40,,1035.16
348,2025-03-23,Europe,Hungary,Software,IDE License,Yuki Tanaka,2,178.85,0.05,339.81
349,2025-09-03,Asia,India,Software,Antivirus,Marie Dubois,13,49.03,0.20,509.92
350,2025-01-02,North America,Canada,Electronics,Mouse,Hans Müller,5,23.89,0.15,101.55
351,2024-06-04,Europe,Poland,Furniture,Desk Lamp,Hans Müller,9,48.46,0.10,392.53
352,2025-07-07,,Iceland,Office Supplies,Stapler,Priya Sharma,5,11.64,0.25,43.65
353,2024-12-04,Asia,Japan,,Gift Card,Kovács Anna,14,106.36,0.25,1116.80
354,2024-06-24,Asia,India,,Shipping,Yuki Tanaka,8,16.05,0.00,128.38
355,2024-07-25,Asia,India,Furniture,Office Chair,Carlos García,20,280.37,0.15,4766.23
356,2024-03-15,South America,Argentina,Electronics,Laptop,Hans Müller,5,1325.10,0.20,5300.40
357,2024-06-28,Africa,Egypt,Software,Antivirus,Marie Dubois,13,49.98,0.00,649.73
358,2024-03-12,Oceania,Australia,Office Supplies,Printer Paper,Hans Müller,1,6.98,0.15,5.93
359,2025-08-10,,Singapore,Office Supplies,Stapler,Szabó Éva,7,12.15,0.10,76.55
360,2025-10-08,South America,Argentina,Furniture,Desk,Nagy Péter,1,391.78,0.25,293.83
361,2025-11-10,Europe,Germany,Electronics,Monitor,Marie Dubois,4,354.04,0.25,1062.13
362,2025-02-27,Europe,France,Electronics,Monitor,Yuki Tanaka,11,340.95,0.20,3000.34
363,2024-01-15,Oceania,New Zealand,Electronics,Laptop,Nagy Péter,13,1121.77,0.20,11666.45
364,2024-06-15,North America,Canada,Electronics,Monitor,Kovács Anna,10,340.53,0.00,3405.30
365,2025-09-30,Europe,Germany,Electronics,Keyboard,Nagy Péter,1,57.89,0.30,40.52
366,2025-12-25,Asia,China,Furniture,Office Chair,Emily Johnson,19,247.57,0.00,4703.84
367,2025-10-18,Europe,France,,Extended Warranty,Carlos García,9,86.89,0.25,586.54
368,2024-04-27,Asia,Japan,Software,Office Suite,Marie Dubois,4,157.33,0.20,503.46
369,2025-08-30,Oceania,New Zealand,,Extended Warranty,Szabó Éva,10,75.68,0.20,605.46
370,2024-07-23,North America,United States,Electronics,Keyboard,Marie Dubois,10,67.95,0.05,645.55
371,2024-05-20,Europe,Germany,Electronics,Laptop,Marie Dubois,15,1303.93,,19558.93
372,2024-12-01,Europe,United Kingdom,Electronics,Headphones,Szabó Éva,17,87.33,0.20,1187.67
373,2024-04-17,South America,Brazil,Furniture,Bookshelf,Hans Müller,13,185.04,0.00,2405.46
374,2024-11-27,Europe,Germany,Office Supplies,Pens,Hans Müller,11,4.59,,50.49
375,2024-12-01,North America,United States,Electronics,Headphones,Carlos García,13,82.99,,1078.84
376,2024-07-25,Asia,South Korea,Furniture,Bookshelf,Kovács Anna,2,186.11,0.05,353.60
377,2024-07-14,Europe,France,Furniture,Desk,Kovács Anna,9,382.64,0.20,2754.99
378,2024-04-01,Asia,Japan,Office Supplies,Stapler,Yuki Tanaka,11,12.28,0.20,108.07
379,2025-02-17,Africa,Egypt,Office Supplies,Binder,Priya Sharma,4,6.27,0.15,21.30
380,2024-09-23,Europe,France,Office Supplies,Pens,,20,3.93,0.05,74.68
381,2025-12-04,Oceania,Australia,Furniture,Office Chair,Priya Sharma,1,274.53,,274.53
382,2024-08-15,Asia,South Korea,Software,Antivirus,Hans Müller,7,44.43,,311.03
383,2024-07-17,Africa,South Africa,Software,Office Suite,,1,163.67,0.20,130.94
384,2025-01-10,Africa,South Africa,Furniture,Bookshelf,Emily Johnson,18,183.10,,3295.87
385,2025-06-02,South America,Argentina,Electronics,Headphones,,19,77.61,0.10,1327.10
386,2024-09-25,North America,Canada,Electronics,Laptop,Carlos García,1,1379.26,0.20,1103.41
387,2025-05-16,Europe,Poland,Furniture,Desk,John Smith,8,369.28,,2954.22
388,2025-10-07,,Iceland,Electronics,Headphones,Hans Müller,12,90.78,0.05,1034.90
389,2025-06-28,,Singapore,,Extended Warranty,Nagy Péter,3,71.21,0.00,213.62
390,2024-03-07,Europe,United Kingdom,Office Supplies,Pens,Szabó Éva,3,4.15,0.10,11.21
391,2025-05-23,North America,,,,Szabó Éva,9,84.60,,761.40
392,2025-06-27,Asia,China,Electronics,Headphones,John Smith,20,90.44,,1808.77
393,2025-02-07,Africa,South Africa,Furniture,Office Chair,John Smith,5,245.51,0.25,920.67
394,2024-05-29,,Iceland,,Shipping,Szabó Éva,18,13.84,0.15,211.72
395,2025-08-19,Europe,Hungary,Furniture,Desk Lamp,Kovács Anna,14,39.33,0.00,550.61
396,2024-07-08,Africa,Egypt,,Extended Warranty,Nagy Péter,2,80.89,0.05,153.68
397,2024-05-18,Oceania,Australia,Furniture,Desk Lamp,Nagy Péter,7,41.28,0.15,245.61
398,2024-02-25,Oceania,Australia,,Shipping,Hans Müller,16,15.27,0.15,207.61
399,2024-02-10,Asia,South Korea,Office Supplies,Printer Paper,Yuki Tanaka,9,8.24,,74.20
400,2025-03-05,Asia,South Korea,Software,Antivirus,Marie Dubois,6,54.45,0.15,277.72
401,2025-05-31,Oceania,Australia,Electronics,Mouse,Kovács Anna,20,26.53,0.30,371.37
402,2025-08-06,Asia,Japan,Electronics,Laptop,John Smith,10,1022.56,0.05,9714.28
403,2025-12-24,North America,Mexico,Electronics,Monitor,Carlos García,4,339.69,0.05,1290.84
404,2025-04-12,Oceania,Australia,Furniture,Desk,Kovács Anna,19,403.22,0.15,6511.93
405,2024-06-09,Europe,United Kingdom,Office Supplies,Printer Paper,Priya Sharma,11,7.26,0.20,63.92
406,2025-12-22,Africa,Egypt,Electronics,Monitor,Priya Sharma,,328.17,0.30,
407,2025-01-01,Africa,Egypt,Office Supplies,Pens,John Smith,3,4.14,0.00,12.43
408,2024-03-07,Africa,South Africa,Software,IDE License,Emily Johnson,14,196.69,0.00,2753.72
409,2024-08-12,South America,Brazil,Office Supplies,Pens,Priya Sharma,8,4.03,0.00,32.21
410,2024-07-05,Oceania,New Zealand,Furniture,,Szabó Éva,9,172.67,0.20,1243.25
411,2025-12-24,South America,Argentina,Furniture,,Szabó Éva,19,282.45,,5366.61
412,2024-08-03,Asia,India,Electronics,Mouse,Nagy Péter,20,27.75,,554.99
413,2025-10-17,North America,Canada,Electronics,Mouse,Yuki Tanaka,,27.55,0.05,
414,2024-07-30,North America,,,,Kovács Anna,16,205.91,0.00,3294.51
415,2024-11-21,North America,Mexico,Furniture,Bookshelf,John Smith,2,202.01,0.25,303.02
416,2025-09-30,South America,Argentina,Office Supplies,Stapler,Yuki Tanaka,15,13.04,0.20,156.53
417,2024-05-21,Asia,Japan,Electronics,Laptop,Marie Dubois,6,,0.05,
418,2025-08-29,South America,Brazil,Furniture,Desk Lamp,Kovács Anna,19,49.42,0.00,939.06
419,2025-09-09,Europe,United Kingdom,Furniture,Desk,Szabó Éva,5,347.24,0.05,1649.40
420,2025-11-02,Europe,United Kingdom,,Shipping,Yuki Tanaka,19,13.37,0.05,241.31
421,2025-10-29,Europe,United Kingdom,Software,Antivirus,Yuki Tanaka,18,53.38,0.00,960.76
422,2024-03-01,South America,Brazil,Office Supplies,Printer Paper,Marie Dubois,16,7.46,0.05,113.32
423,2025-01-09,Europe,Germany,Electronics,Keyboard,Carlos García,8,62.97,0.30,352.64
424,2025-10-01,Europe,Hungary,Electronics,Laptop,Marie Dubois,11,1325.63,0.15,12394.67
425,2024-12-12,Europe,Poland,Furniture,Bookshelf,Priya Sharma,17,195.93,0.25,2498.10
426,2024-01-04,Asia,South Korea,,Extended Warranty,Priya Sharma,3,73.61,0.10,198.75
427,2024-04-08,Europe,Poland,,Gift Card,Marie Dubois,18,99.39,0.15,1520.69
428,2025-05-07,South America,Argentina,Electronics,Mouse,Priya Sharma,11,,0.10,
429,2025-09-23,Oceania,New Zealand,,Shipping,Szabó Éva,12,12.93,,155.12
430,2025-11-23,North America,Canada,Electronics,Laptop,Nagy Péter,10,1102.51,0.30,7717.59
431,2025-08-03,Oceania,Australia,Software,Office Suite,Szabó Éva,5,161.55,0.00,807.76
432,2024-08-04,Asia,India,,Shipping,Carlos García,3,17.04,,51.13
433,2024-12-17,Europe,Germany,Software,Office Suite,Yuki Tanaka,16,146.36,0.30,1639.18
434,2024-04-11,,Iceland,Software,IDE License,Priya Sharma,16,216.97,,3471.53
435,2025-12-04,Europe,United Kingdom,Electronics,Keyboard,Marie Dubois,19,,0.25,
436,2025-10-25,,Singapore,Office Supplies,Binder,Szabó Éva,17,6.24,0.30,74.23
437,2025-04-29,Asia,China,,Gift Card,Szabó Éva,8,,0.15,
438,2024-03-13,South America,Brazil,,Extended Warranty,Priya Sharma,19,72.04,0.30,958.12
439,2025-11-04,Asia,India,Software,IDE License,John Smith,1,206.80,0.05,196.46
440,2024-06-21,,Singapore,Software,IDE License,Carlos García,2,193.32,,386.65
441,2024-04-30,,Singapore,Office Supplies,Printer Paper,Yuki Tanaka,12,8.59,0.20,82.49
442,2024-01-07,Europe,Hungary,Furniture,Bookshelf,Emily Johnson,15,168.81,,2532.09
443,2025-08-09,Europe,Hungary,Furniture,Desk Lamp,Hans Müller,7,50.04,0.25,262.69
444,2024-10-17,North America,Canada,Software,,Carlos García,14,200.61,,2808.59
445,2025-03-10,Oceania,Australia,Furniture,Desk Lamp,Szabó Éva,7,48.19,,337.36
446,2025-09-26,Europe,Poland,Office Supplies,Printer Paper,Carlos García,4,7.38,0.25,22.13
447,2024-04-21,Asia,,,,John Smith,19,248.05,0.00,4712.99
448,2025-01-13,Oceania,New Zealand,Electronics,,Emily Johnson,3,,0.00,
449,2025-07-19,Europe,Germany,Electronics,Monitor,Nagy Péter,16,,0.25,
450,2025-08-27,Africa,Egypt,Furniture,Office Chair,Priya Sharma,10,283.56,0.30,1984.89
451,2024-05-13,Asia,South Korea,Electronics,Monitor,Priya Sharma,15,395.07,0.15,5037.14
452,2025-02-12,Europe,Germany,Electronics,Headphones,Szabó Éva,9,93.31,,839.76
453,2025-02-24,Asia,India,Furniture,Desk,John Smith,2,445.57,,891.13
454,2025-05-10,Europe,Germany,Electronics,Headphones,Kovács Anna,13,86.20,0.25,840.46
455,2025-02-12,North America,United States,Electronics,Headphones,Yuki Tanaka,2,82.17,0.05,156.13
456,2025-08-26,Africa,Egypt,,Extended Warranty,Carlos García,14,85.95,0.25,902.45
457,2024-03-23,South America,Argentina,Software,IDE License,Marie Dubois,17,226.87,0.00,3856.78
458,2025-10-05,Asia,India,Electronics,Headphones,Hans Müller,14,88.94,0.15,1058.34
459,2025-08-30,Africa,South Africa,Software,Office Suite,Priya Sharma,2,129.11,0.25,193.66
460,2025-11-17,North America,United States,Software,Antivirus,Priya Sharma,1,43.35,0.30,30.35
461,2025-10-22,Oceania,New Zealand,,Extended Warranty,,15,89.42,0.25,1005.96
462,2025-03-20,Oceania,New Zealand,Software,Office Suite,Hans Müller,8,,0.15,
463,2024-11-16,Oceania,New Zealand,Furniture,Desk,Priya Sharma,14,374.33,0.10,4716.50
464,2024-03-21,North America,Mexico,Software,,Emily Johnson,3,211.14,0.30,443.40
465,2024-04-02,Africa,,,,Carlos García,12,474.28,0.10,5122.22
466,2024-07-24,Asia,South Korea,,Shipping,Yuki Tanaka,3,,0.20,
467,2024-09-14,Asia,South Korea,Office Supplies,Pens,John Smith,3,3.75,0.10,10.12
468,2025-03-05,South America,Brazil,,Gift Card,Emily Johnson,6,102.96,0.20,494.22
469,2024-02-06,Africa,Egypt,,Gift Card,Hans Müller,19,88.70,,1685.30
470,2024-03-05,Asia,India,,Shipping,Yuki Tanaka,10,14.79,0.05,140.47
471,2025-03-22,,Iceland,,Gift Card,Hans Müller,14,99.95,0.00,1399.28
472,2025-10-29,Africa,South Africa,Furniture,Bookshelf,Kovács Anna,4,172.35,0.30,482.58
473,2025-03-30,Europe,Hungary,Software,Office Suite,Kovács Anna,8,155.11,0.05,1178.84
474,2024-08-16,Africa,,,,Szabó Éva,1,64.31,0.25,48.23
475,2025-05-02,Europe,France,,Shipping,Nagy Péter,,12.99,,
476,2025-12-17,Europe,Hungary,Office Supplies,Printer Paper,Emily Johnson,8,8.32,0.20,53.24
477,2024-07-18,Europe,Poland,Furniture,Desk Lamp,Hans Müller,19,50.59,0.00,961.22
478,2024-05-30,North America,Canada,Furniture,Desk Lamp,Szabó Éva,10,42.73,0.05,405.97
479,2024-09-30,Europe,Germany,Software,,Szabó Éva,16,203.20,0.15,2763.49
480,2025-09-10,Europe,France,Furniture,Desk,Emily Johnson,13,362.63,0.00,4714.20
481,2025-01-03,Asia,South Korea,Software,,Nagy Péter,18,70.13,0.00,1262.36
482,2024-01-19,Asia,India,Office Supplies,Binder,Marie Dubois,4,5.82,,23.28
483,2024-06-14,,Singapore,Office Supplies,Binder,John Smith,9,6.63,0.05,56.73
484,2024-09-28,Asia,South Korea,,Gift Card,Carlos García,3,110.03,0.15,280.57
485,2025-06-13,Asia,India,Office Supplies,Stapler,Emily Johnson,16,11.32,,181.06
486,2024-09-11,Asia,Japan,Electronics,Headphones,Priya Sharma,18,,0.20,
487,2025-04-14,Europe,Hungary,Electronics,Monitor,Carlos García,12,299.65,0.25,2696.85
488,2024-06-11,Asia,Japan,Electronics,Keyboard,Nagy Péter,14,59.12,0.10,744.86
489,2024-11-04,Oceania,New Zealand,Furniture,Bookshelf,John Smith,1,158.77,0.15,134.95
490,2025-01-03,Europe,France,Electronics,Mouse,Marie Dubois,11,24.12,0.30,185.76
491,2024-11-08,,Iceland,Furniture,Desk Lamp,Priya Sharma,6,40.35,0.05,229.97
492,2024-07-07,Oceania,Australia,Software,,Yuki Tanaka,12,75.72,0.15,772.39
493,2025-07-25,North America,Mexico,Electronics,Laptop,Nagy Péter,4,1080.23,0.20,3456.74
494,2024-09-22,North America,Canada,,Extended Warranty,Kovács Anna,3,71.84,0.15,183.18
495,2024-05-04,Europe,Poland,Software,IDE License,Kovács Anna,16,223.81,0.00,3580.89
496,2024-09-14,Asia,Japan,Furniture,,Szabó Éva,2,146.20,0.25,219.31
497,2025-09-21,South America,Brazil,Furniture,Desk Lamp,Szabó Éva,6,38.54,0.00,231.25
498,2025-02-12,South America,Argentina,Furniture,Bookshelf,Emily Johnson,9,202.54,0.00,1822.83
499,2025-03-10,North America,Mexico,Office Supplies,Stapler,John Smith,16,12.90,0.05,196.03
500,2024-12-22,Europe,Germany,Electronics,Mouse,Carlos García,8,24.78,0.25,148.67
501,2025-07-14,Asia,Japan,Software,Office Suite,John Smith,10,128.40,0.25,963.02
502,2025-09-17,Asia,South Korea,Furniture,Bookshelf,Nagy Péter,18,177.79,0.05,3040.13
503,2024-07-21,South America,Argentina,Software,Office Suite,Szabó Éva,12,153.45,0.05,1749.32
504,2025-06-15,Asia,India,Electronics,Monitor,Yuki Tanaka,14,301.73,0.00,4224.17
505,2024-07-06,Europe,Poland,Software,Office Suite,Kovács Anna,12,143.00,0.30,1201.16
506,2024-01-30,Europe,Hungary,Furniture,Desk Lamp,Hans Müller,4,42.18,0.25,126.53
507,2024-12-18,Europe,France,Office Supplies,Pens,Nagy Péter,11,3.48,0.05,36.35
508,2025-07-05,Asia,Japan,,Shipping,Emily Johnson,9,13.09,0.05,111.90
509,2024-12-24,,Singapore,,Shipping,Marie Dubois,17,14.27,0.20,194.06
510,2025-05-03,Europe,United Kingdom,Electronics,Headphones,,9,94.28,0.00,848.53
511,2025-01-11,Europe,Hungary,Office Supplies,Binder,Hans Müller,13,6.68,0.20,69.45
512,2024-01-15,Asia,China,Furniture,Desk,Priya Sharma,8,340.93,0.15,2318.30
513,2025-07-08,North America,Mexico,Software,IDE License,Emily Johnson,13,,0.30,
514,2024-12-17,Oceania,New Zealand,Furniture,Bookshelf,Kovács Anna,18,171.59,0.05,2934.15
515,2025-01-13,Africa,Egypt,Office Supplies,Stapler,Hans Müller,3,11.30,0.20,27.12
516,2024-01-14,,Singapore,Office Supplies,Stapler,Priya Sharma,9,10.49,,94.40
517,2025-12-28,Europe,Germany,Software,Antivirus,Priya Sharma,3,55.62,0.00,166.87
518,2024-04-13,North America,Canada,Software,IDE License,Kovács Anna,14,189.51,0.05,2520.54
519,2025-04-24,North America,Mexico,Furniture,Desk Lamp,John Smith,11,49.23,0.30,379.03
520,2024-11-08,Oceania,New Zealand,Furniture,Desk,Priya Sharma,15,353.78,0.20,4245.41
521,2024-01-08,North America,Mexico,Furniture,Office Chair,Kovács Anna,12,213.44,0.25,1920.94
522,2024-05-12,Oceania,Australia,Software,Office Suite,Marie Dubois,19,147.94,0.05,2670.25
523,2024-11-03,Europe,Germany,Electronics,Mouse,Szabó Éva,2,25.32,0.15,43.05
524,2025-09-11,Europe,Poland,Office Supplies,Printer Paper,Hans Müller,9,8.42,0.20,60.62
525,2025-04-23,North America,Canada,Office Supplies,Binder,Hans Müller,9,6.80,0.10,55.09
526,2024-08-17,,Singapore,Electronics,Headphones,Priya Sharma,10,83.02,,830.24
527,2024-10-27,North America,Mexico,Electronics,Mouse,Nagy Péter,18,24.01,0.00,432.23
528,2024-11-06,North America,Canada,Electronics,Mouse,John Smith,7,26.59,0.10,167.54
529,2024-11-09,,Singapore,Software,Office Suite,Szabó Éva,20,169.79,0.20,2716.64
530,2025-07-07,Africa,South Africa,Software,Office Suite,Marie Dubois,9,155.47,0.15,1189.32
531,2025-05-18,Asia,South Korea,Furniture,Desk Lamp,Priya Sharma,19,39.09,0.25,557.05
532,2025-02-25,North America,,,,,5,148.14,0.20,592.56
533,2025-11-07,Asia,China,Software,Antivirus,Carlos García,3,46.68,0.00,140.03
534,2024-08-10,South America,,,,Nagy Péter,11,197.48,0.15,1846.41
535,2025-10-09,Europe,France,Electronics,,Kovács Anna,2,194.44,,388.87
536,2024-10-01,North America,United States,Electronics,Laptop,Yuki Tanaka,1,1262.90,0.00,1262.90
537,2025-01-31,Oceania,New Zealand,Software,Office Suite,Emily Johnson,8,132.51,0.25,795.08
538,2024-12-30,Oceania,Australia,Office Supplies,Printer Paper,Yuki Tanaka,13,7.78,0.25,75.89
539,2025-12-23,Europe,Hungary,Software,Antivirus,Marie Dubois,10,46.56,0.20,372.45
540,2025-09-15,Oceania,New Zealand,Electronics,Monitor,Emily Johnson,8,341.95,0.10,2462.07
541,2024-03-02,,Singapore,Electronics,Laptop,Szabó Éva,16,1152.60,0.00,18441.60
542,2024-06-30,North America,Mexico,Furniture,Desk,Hans Müller,17,453.40,0.30,5395.42
543,2025-01-28,Europe,Poland,Furniture,Desk,Szabó Éva,2,,0.15,
544,2024-12-03,Europe,Poland,Furniture,Desk Lamp,Nagy Péter,15,43.18,0.00,647.63
545,2025-10-12,South America,Argentina,Furniture,Office Chair,Hans Müller,13,225.64,0.25,2200.00
546,2025-05-05,Oceania,New Zealand,Software,IDE License,Carlos García,20,185.71,0.00,3714.18
547,2025-12-21,South America,Argentina,Office Supplies,Pens,John Smith,14,3.86,0.10,48.63
548,2025-06-12,North America,Mexico,Software,Antivirus,Priya Sharma,18,46.63,0.05,797.31
549,2024-10-24,Europe,Germany,,Shipping,Emily Johnson,8,13.02,0.05,98.96
550,2025-01-24,Asia,China,Furniture,Desk,Priya Sharma,4,342.15,0.20,1094.87
551,2025-05-27,Asia,China,Electronics,Mouse,Marie Dubois,5,24.38,0.10,109.72
552,2024-03-29,Oceania,New Zealand,,Gift Card,Kovács Anna,16,112.48,0.25,1349.81
553,2024-02-08,Oceania,New Zealand,Electronics,Mouse,Priya Sharma,15,27.41,0.00,411.16
554,2025-03-28,Asia,India,Electronics,Mouse,Hans Müller,7,24.20,0.30,118.60
555,2024-06-05,Oceania,Australia,Furniture,Desk,Yuki Tanaka,12,353.30,0.10,3815.63
556,2024-04-27,Asia,South Korea,Electronics,Keyboard,Yuki Tanaka,9,66.94,0.30,421.69
557,2025-11-17,Europe,United Kingdom,Electronics,Laptop,Kovács Anna,4,1321.86,0.25,3965.58
558,2024-09-11,North America,Mexico,Electronics,Mouse,Kovács Anna,17,,0.30,
559,2025-02-15,,Singapore,Electronics,,Carlos García,10,326.02,0.10,2934.14
560,2025-01-03,Asia,China,Electronics,Mouse,Hans Müller,10,27.23,0.25,204.23
561,2025-09-20,Oceania,Australia,,Extended Warranty,Carlos García,3,87.20,0.15,222.35
562,2025-03-21,,Iceland,Electronics,Laptop,Nagy Péter,10,1150.50,0.30,8053.48
563,2024-08-21,Europe,France,Office Supplies,Stapler,Kovács Anna,3,10.99,0.05,31.31
564,2025-05-08,Oceania,New Zealand,Furniture,Desk Lamp,Kovács Anna,15,,0.05,
565,2025-06-06,Asia,Japan,Electronics,Monitor,Hans Müller,15,301.78,0.20,3621.30
566,2025-01-13,Oceania,New Zealand,Electronics,Headphones,Kovács Anna,19,86.32,0.15,1393.99
567,2024-10-16,Europe,United Kingdom,Electronics,Keyboard,John Smith,2,59.13,0.15,100.53
568,2025-04-09,North America,Canada,Office Supplies,Pens,,18,,0.05,
569,2025-11-28,Asia,South Korea,,Gift Card,Priya Sharma,18,104.54,,1881.66
570,2025-08-03,Europe,United Kingdom,Furniture,Desk,Hans Müller,13,420.16,0.15,4642.81
571,2025-05-30,South America,Argentina,Software,Antivirus,John Smith,12,47.12,0.25,424.10
572,2025-10-24,Europe,Hungary,Electronics,,Emily Johnson,18,262.06,,4717.14
573,2024-03-23,South America,,,,Hans Müller,6,380.95,0.20,1828.54
574,2024-04-08,Europe,France,,Shipping,Emily Johnson,9,13.92,0.15,106.50
575,2024-10-28,Europe,France,Electronics,Laptop,Priya Sharma,6,1186.73,0.05,6764.39
576,2024-06-06,Asia,China,Office Supplies,Pens,Kovács Anna,20,4.57,0.05,86.74
577,2024-07-22,Asia,Japan,Furniture,Bookshelf,John Smith,3,,,
578,2025-06-10,Africa,Egypt,Office Supplies,Binder,John Smith,19,5.79,0.15,93.47
579,2025-12-08,Africa,Egypt,Electronics,Mouse,Carlos García,18,27.36,0.30,344.72
580,2025-11-06,Oceania,New Zealand,Electronics,Keyboard,Emily Johnson,8,62.30,0.10,448.55
581,2024-07-31,Europe,France,,Gift Card,Carlos García,4,113.45,0.20,363.05
582,2025-04-14,Asia,South Korea,Furniture,Desk Lamp,Priya Sharma,20,,0.00,
583,2024-05-22,Europe,Hungary,Software,Antivirus,Marie Dubois,4,57.48,,229.93
584,2025-09-14,Europe,Hungary,Office Supplies,Pens,Emily Johnson,2,4.31,0.15,7.33
585,2025-07-10,Africa,South Africa,Electronics,Keyboard,John Smith,3,64.17,0.20,154.00
586,2024-02-18,,Iceland,Electronics,Headphones,Nagy Péter,19,85.54,,1625.20
587,2024-05-31,Africa,South Africa,Software,Antivirus,Nagy Péter,3,43.02,,129.06
588,2025-02-17,Asia,India,Furniture,Desk Lamp,Marie Dubois,,50.98,0.05,
